C_Value,ELO,Win_Rate,Avg_Turns,Avg_Iters
0.4,1066.331184,35,117.55,4243.208857
0.5,1145.145538,40,106.74,4172.709287
1,1059.402053,26,111.7,2817.199668
1.41,917.0574756,34,109.92,3088.676923
2.5,982.0171037,42,115.6,2214.180662
